image_name,bottles_detected,hand_present,interaction,hazard_flag,raw_detections,timestamp
pill~bottle-A_20260120_155305.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.899, ""box"": [90, 22, 166, 190]}]",2026-03-12T15:05:47
pill~bottle-A_20260120_155315.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.847, ""box"": [91, 22, 166, 189]}]",2026-03-12T15:05:47
pill~bottle-A_20260120_155347.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.853, ""box"": [91, 24, 167, 190]}]",2026-03-12T15:05:48
pill~bottle-A_20260120_155359.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.837, ""box"": [87, 21, 166, 193]}]",2026-03-12T15:05:48
pill~bottle-A_20260120_155406.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.877, ""box"": [87, 23, 164, 190]}]",2026-03-12T15:05:48
pill~bottle-A_20260120_155417.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.898, ""box"": [86, 23, 157, 190]}]",2026-03-12T15:05:48
pill~bottle-A_20260120_155424.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.793, ""box"": [85, 24, 157, 191]}]",2026-03-12T15:05:49
pill~bottle-A_20260120_155430.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.887, ""box"": [84, 24, 158, 190]}]",2026-03-12T15:05:49
pill~bottle-A_20260120_155439.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.881, ""box"": [81, 23, 160, 193]}]",2026-03-12T15:05:49
pill~bottle-A_20260120_155449.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.847, ""box"": [80, 23, 157, 192]}]",2026-03-12T15:05:49
pill~bottle-A_20260120_155459.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.73, ""box"": [78, 21, 158, 190]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155507.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.866, ""box"": [78, 22, 158, 191]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155514.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.889, ""box"": [77, 22, 160, 192]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155523.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.818, ""box"": [77, 22, 156, 191]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155530.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.826, ""box"": [77, 21, 155, 189]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155540.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.806, ""box"": [76, 21, 154, 188]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155549.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.808, ""box"": [77, 22, 155, 188]}]",2026-03-12T15:05:50
pill~bottle-A_20260120_155555.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.8, ""box"": [77, 22, 152, 188]}]",2026-03-12T15:05:51
pill~bottle-A_20260120_155604.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.816, ""box"": [76, 23, 150, 188]}]",2026-03-12T15:05:51
pill~bottle-A_20260120_155612.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.87, ""box"": [76, 21, 152, 187]}]",2026-03-12T15:05:51
pill~bottle-A_20260120_155619.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.831, ""box"": [73, 21, 151, 189]}]",2026-03-12T15:05:51
pill~bottle-A_20260120_155626.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.827, ""box"": [74, 22, 150, 189]}]",2026-03-12T15:05:51
pill~bottle-A_20260120_155632.jpg,none,no,none,no,[],2026-03-12T15:05:51
pill~bottle-A_20260120_155656.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.883, ""box"": [71, 21, 149, 189]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155708.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.891, ""box"": [71, 22, 145, 190]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155732.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.838, ""box"": [75, 26, 137, 154]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155741.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.836, ""box"": [74, 24, 140, 154]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155747.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.843, ""box"": [76, 26, 131, 151]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155752.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.846, ""box"": [74, 27, 130, 152]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155801.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.832, ""box"": [73, 26, 130, 152]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155809.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.843, ""box"": [72, 26, 128, 151]}]",2026-03-12T15:05:52
pill~bottle-A_20260120_155816.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.886, ""box"": [70, 26, 125, 152]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155825.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.829, ""box"": [68, 26, 124, 151]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155833.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.552, ""box"": [65, 25, 124, 152]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155849.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.836, ""box"": [61, 27, 121, 151]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155859.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.831, ""box"": [59, 27, 118, 151]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155909.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.847, ""box"": [56, 27, 113, 151]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155917.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.85, ""box"": [55, 27, 112, 151]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155937.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.822, ""box"": [106, 27, 165, 155]}]",2026-03-12T15:05:53
pill~bottle-A_20260120_155945.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.806, ""box"": [105, 27, 165, 157]}]",2026-03-12T15:05:54
pill~bottle-A_20260120_155954.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.803, ""box"": [103, 27, 164, 156]}]",2026-03-12T15:05:54
pill~bottle-A_20260120_160006.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.811, ""box"": [103, 27, 163, 155]}]",2026-03-12T15:05:54
pill~bottle-A_20260120_160026.jpg,none,no,none,no,[],2026-03-12T15:05:54
pill~bottle-A_20260120_160038.jpg,none,no,none,no,[],2026-03-12T15:05:54
pill~bottle-A_20260120_160042.jpg,none,no,none,no,[],2026-03-12T15:05:54
pill~bottle-A_20260120_160055.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.91, ""box"": [100, 26, 156, 154]}]",2026-03-12T15:05:54
pill~bottle-A_20260120_160105.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.907, ""box"": [98, 26, 157, 155]}]",2026-03-12T15:05:55
pill~bottle-A_20260120_160124.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.874, ""box"": [97, 26, 157, 153]}]",2026-03-12T15:05:55
pill~bottle-A_20260120_160149.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.638, ""box"": [95, 25, 158, 154]}]",2026-03-12T15:05:55
pill~bottle-A_20260120_160158.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.861, ""box"": [96, 27, 156, 154]}]",2026-03-12T15:05:55
pill~bottle-A_20260120_160205.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.894, ""box"": [94, 26, 158, 153]}]",2026-03-12T15:05:55
pill~bottle-A_20260120_160212.jpg,Bottle A,no,none,no,"[{""class"": ""Bottle A"", ""conf"": 0.857, ""box"": [95, 27, 153, 152]}]",2026-03-12T15:05:55
