frame_id,wall_time,queue_depth_at_dequeue,queue_wait_ms,opencv_read_ms,capture_to_dequeue_ms,yolo_ms,mediapipe_ms,total_pipeline_ms,estimated_display_lag_ms
0,2026-03-03T14:45:53.057,2,0.03,1.07,1501.47,-1.0,-1.0,1501.48,1501.48
1,2026-03-03T14:45:53.057,1,0.01,20.89,1481.0,-1.0,-1.0,1481.01,1481.01
2,2026-03-03T14:45:53.057,0,0.01,95.58,1385.47,-1.0,-1.0,1385.48,1385.48
3,2026-03-03T14:45:53.101,0,43.55,1429.02,0.06,-1.0,-1.0,0.07,0.07
4,2026-03-03T14:45:53.108,0,7.14,7.33,0.07,-1.0,-1.0,0.07,0.07
5,2026-03-03T14:45:53.142,0,33.06,34.03,0.14,-1.0,-1.0,0.15,0.15
6,2026-03-03T14:45:53.303,0,160.73,161.0,0.1,-1.0,-1.0,0.11,0.11
7,2026-03-03T14:45:53.400,0,96.66,97.03,0.06,-1.0,-1.0,0.08,0.08
8,2026-03-03T14:45:53.404,0,3.48,3.77,0.04,-1.0,-1.0,0.05,0.05
9,2026-03-03T14:45:54.492,0,1087.86,1087.97,0.08,-1.0,-1.0,0.09,0.09
10,2026-03-03T14:45:54.621,0,128.48,128.77,0.12,-1.0,-1.0,0.13,0.13
11,2026-03-03T14:45:54.637,0,15.79,16.17,0.07,-1.0,-1.0,0.09,0.09
12,2026-03-03T14:45:54.654,0,16.4,16.64,0.1,-1.0,-1.0,0.12,0.12
13,2026-03-03T14:45:54.666,0,11.54,11.88,0.09,-1.0,-1.0,0.1,0.1
14,2026-03-03T14:45:56.072,0,1405.98,1406.35,0.06,-1.0,-1.0,0.07,0.07
15,2026-03-03T14:45:56.088,0,15.01,15.24,0.05,-1.0,-1.0,0.06,0.06
16,2026-03-03T14:45:56.110,0,21.79,21.7,0.3,-1.0,-1.0,0.33,0.33
17,2026-03-03T14:45:56.228,0,117.67,118.61,0.05,-1.0,-1.0,0.06,0.06
18,2026-03-03T14:45:56.237,0,8.47,8.77,0.06,-1.0,-1.0,0.07,0.07
19,2026-03-03T14:45:56.284,0,46.63,46.87,0.05,-1.0,-1.0,0.06,0.06
20,2026-03-03T14:45:56.291,0,6.71,6.91,0.1,-1.0,-1.0,0.15,0.15
21,2026-03-03T14:45:56.476,0,184.84,185.1,0.12,-1.0,-1.0,0.14,0.14
22,2026-03-03T14:45:56.476,0,0.01,0.33,0.21,-1.0,-1.0,0.22,0.22
23,2026-03-03T14:45:56.503,0,25.94,26.25,0.09,-1.0,-1.0,0.1,0.1
24,2026-03-03T14:45:58.106,0,1602.68,1603.07,0.07,-1.0,-1.0,0.08,0.08
25,2026-03-03T14:45:58.106,0,0.01,0.45,0.03,-1.0,-1.0,0.03,0.03
26,2026-03-03T14:45:58.219,0,112.58,112.64,0.11,-1.0,-1.0,0.12,0.12
27,2026-03-03T14:45:58.315,0,95.41,95.74,0.11,-1.0,-1.0,0.13,0.13
28,2026-03-03T14:45:58.326,0,10.83,11.54,0.07,-1.0,-1.0,0.09,0.09
29,2026-03-03T14:45:58.412,0,85.81,86.1,0.06,-1.0,-1.0,0.07,0.07
30,2026-03-03T14:45:59.569,0,1155.73,1155.96,0.09,-1.0,-1.0,0.11,0.11
31,2026-03-03T14:45:59.604,0,34.49,34.89,0.25,-1.0,-1.0,0.26,0.26
32,2026-03-03T14:45:59.745,0,140.54,141.03,0.1,-1.0,-1.0,0.11,0.11
33,2026-03-03T14:45:59.747,0,2.15,2.5,0.08,-1.0,-1.0,0.1,0.1
34,2026-03-03T14:45:59.765,0,16.98,17.38,0.05,-1.0,-1.0,0.06,0.06
35,2026-03-03T14:45:59.860,0,94.99,95.21,0.1,-1.0,-1.0,0.12,0.12
36,2026-03-03T14:45:59.866,0,5.26,5.78,0.1,-1.0,-1.0,0.11,0.11
37,2026-03-03T14:45:59.888,0,21.52,21.94,0.08,-1.0,-1.0,0.09,0.09
38,2026-03-03T14:46:00.053,0,164.48,164.81,0.13,-1.0,-1.0,0.14,0.14
39,2026-03-03T14:46:00.065,0,11.75,12.08,0.1,-1.0,-1.0,0.11,0.11
40,2026-03-03T14:46:00.079,0,13.55,13.99,0.05,-1.0,-1.0,0.06,0.06
41,2026-03-03T14:46:00.257,0,178.56,178.72,0.08,-1.0,-1.0,0.09,0.09
42,2026-03-03T14:46:00.359,0,101.4,101.76,0.07,-1.0,-1.0,0.08,0.08
43,2026-03-03T14:46:00.360,0,0.01,0.38,0.04,-1.0,-1.0,0.04,0.04
44,2026-03-03T14:46:00.390,0,29.82,29.91,0.07,-1.0,-1.0,0.08,0.08
45,2026-03-03T14:46:00.403,0,12.79,13.07,0.06,-1.0,-1.0,0.07,0.07
46,2026-03-03T14:46:00.564,0,160.75,160.91,0.1,-1.0,-1.0,0.12,0.12
47,2026-03-03T14:46:00.564,0,0.01,0.38,0.04,-1.0,-1.0,0.04,0.04
48,2026-03-03T14:46:00.588,0,23.66,23.77,0.06,-1.0,-1.0,0.07,0.07
49,2026-03-03T14:46:00.604,0,16.2,16.37,0.13,-1.0,-1.0,0.14,0.14
50,2026-03-03T14:46:00.677,0,72.02,72.35,0.08,-1.0,-1.0,0.09,0.09
51,2026-03-03T14:46:02.098,0,1420.75,1421.35,0.08,-1.0,-1.0,0.1,0.1
52,2026-03-03T14:46:02.124,0,25.27,25.73,0.06,-1.0,-1.0,0.07,0.07
53,2026-03-03T14:46:02.144,0,19.56,20.34,0.05,-1.0,-1.0,0.06,0.06
54,2026-03-03T14:46:02.212,0,67.31,67.63,0.08,-1.0,-1.0,0.09,0.09
55,2026-03-03T14:46:02.220,0,7.61,7.92,0.05,-1.0,-1.0,0.06,0.06
56,2026-03-03T14:46:03.492,0,1271.71,1271.83,0.07,-1.0,-1.0,0.08,0.08
57,2026-03-03T14:46:03.492,0,0.01,0.4,0.09,-1.0,-1.0,0.09,0.09
58,2026-03-03T14:46:03.691,0,198.81,198.86,0.22,-1.0,-1.0,0.23,0.23
