epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.67,1.23392,4.35657,0.01419,0.92796,0.27025,0.75166,0.50426,1.03127,6.16485,0.01512,0.000366394,0.000366394,0.000366394
2,812.034,1.20065,2.77031,0.01343,0.85265,0.86898,0.92935,0.61914,1.2509,3.79755,0.01734,0.00072214,0.00072214,0.00072214
3,1181.9,1.2171,2.05791,0.01369,0.79768,0.90016,0.93297,0.63853,1.15994,2.53862,0.01681,0.00106322,0.00106322,0.00106322
4,1545.54,1.22149,1.51863,0.0138,0.89113,0.92354,0.96486,0.64837,1.17619,1.64894,0.01678,0.00104501,0.00104501,0.00104501
5,1909.11,1.24083,1.24914,0.01401,0.89849,0.90691,0.96826,0.68284,1.10682,1.24038,0.0155,0.00102301,0.00102301,0.00102301
6,2282.67,1.19577,1.04006,0.01361,0.9552,0.9359,0.98198,0.67639,1.13443,0.88718,0.01609,0.00100101,0.00100101,0.00100101
7,2655.2,1.16019,0.87813,0.01297,0.89814,0.95455,0.97104,0.64462,1.19156,0.81279,0.01593,0.000979013,0.000979013,0.000979013
8,3032.45,1.16031,0.76102,0.01296,0.92849,0.93899,0.98153,0.602,1.42915,0.74868,0.02126,0.000957015,0.000957015,0.000957015
9,3408.91,1.1411,0.72312,0.01251,0.94559,0.93853,0.98275,0.6887,1.1203,0.58295,0.01511,0.000935018,0.000935018,0.000935018
10,3783.13,1.14595,0.70277,0.01282,0.93617,0.96254,0.98515,0.67838,1.12571,0.54147,0.01545,0.00091302,0.00091302,0.00091302
11,4158.43,1.12684,0.67949,0.01257,0.94341,0.94809,0.98437,0.70645,1.0695,0.49612,0.01509,0.000891022,0.000891022,0.000891022
12,4532.27,1.1066,0.63197,0.0119,0.96719,0.9469,0.98338,0.72051,1.05032,0.45131,0.01433,0.000869024,0.000869024,0.000869024
13,4904.64,1.09326,0.5993,0.01198,0.9761,0.94778,0.98795,0.71229,1.07268,0.44152,0.01443,0.000847026,0.000847026,0.000847026
14,5308.45,1.07802,0.60306,0.01173,0.9588,0.96014,0.98574,0.70885,1.07595,0.42078,0.01487,0.000825029,0.000825029,0.000825029
15,5716.39,1.08769,0.59432,0.01169,0.99031,0.95634,0.98751,0.72018,1.06045,0.40398,0.01447,0.000803031,0.000803031,0.000803031
16,6087.04,1.06611,0.55909,0.0117,0.94482,0.94431,0.97992,0.70766,1.06918,0.43661,0.01498,0.000781033,0.000781033,0.000781033
17,6464.76,1.05319,0.55441,0.01126,0.95776,0.94512,0.98709,0.71863,1.06809,0.38963,0.01452,0.000759035,0.000759035,0.000759035
18,6842.81,1.0479,0.54357,0.01139,0.95435,0.96968,0.98444,0.72678,1.02983,0.38902,0.01397,0.000737037,0.000737037,0.000737037
