epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59844,2.11116,8.40165,0.03072,0.00333,1,0.57056,0.16614,2.23149,10.2108,0.04113,4e-05,4e-05,4e-05
2,13.6218,1.87554,7.09476,0.02361,0.00333,1,0.6875,0.20234,2.07195,9.85815,0.04177,9.67e-05,9.67e-05,9.67e-05
3,19.4619,1.73266,7.00827,0.021,0.00333,1,0.72269,0.25055,1.97832,9.748,0.03912,0.00014944,0.00014944,0.00014944
4,25.456,1.69579,6.54248,0.02053,0.03044,1,0.71863,0.24761,1.77212,9.46911,0.03776,0.00019822,0.00019822,0.00019822
5,31.272,1.67802,8.09895,0.02082,0.23407,0.8,0.74348,0.27681,1.73034,9.28806,0.03616,0.00024304,0.00024304,0.00024304
6,37.2664,1.55377,6.27698,0.01939,0.89755,0.8,0.82441,0.31779,1.90958,9.08318,0.0413,0.0002839,0.0002839,0.0002839
7,43.0486,1.39424,6.87442,0.02018,1,0.63309,0.83071,0.33621,2.04565,9.0602,0.04303,0.0003208,0.0003208,0.0003208
8,48.9908,1.65875,6.02597,0.02002,0.75074,0.6,0.79667,0.3262,2.36159,9.02085,0.04815,0.00035374,0.00035374,0.00035374
9,54.6598,1.3754,6.31736,0.02015,0.77545,0.7018,0.80591,0.32608,1.99109,8.66618,0.04214,0.00038272,0.00038272,0.00038272
10,60.4928,1.64746,8.5012,0.02459,0.72105,0.8,0.89786,0.37422,1.8415,8.39426,0.04002,0.00040774,0.00040774,0.00040774
11,66.3544,1.63103,5.94957,0.02125,0.92725,0.8,0.93786,0.38742,1.79018,8.24288,0.03937,0.0004288,0.0004288,0.0004288
12,72.2609,1.34729,5.38858,0.0155,1,0.94549,0.995,0.35935,1.85779,8.26276,0.03975,0.0004459,0.0004459,0.0004459
13,78.0452,1.55948,6.87877,0.0187,0.81986,0.8,0.93786,0.34697,1.96175,8.2858,0.03889,0.00045904,0.00045904,0.00045904
14,83.7966,1.58816,6.30124,0.01932,0.75148,0.60591,0.86611,0.3322,2.00365,8.09534,0.03858,0.00046822,0.00046822,0.00046822
15,89.4741,1.40771,5.22236,0.01735,0.75148,0.60591,0.86611,0.3322,2.00365,8.09534,0.03858,0.00047344,0.00047344,0.00047344
16,95.0836,1.5557,5.13963,0.01896,1,0.58877,0.86611,0.34776,1.79107,7.92845,0.03316,0.0004747,0.0004747,0.0004747
17,100.558,1.38613,4.59238,0.01495,1,0.59905,0.88,0.41732,1.82096,7.64414,0.03346,0.000472,0.000472,0.000472
18,105.958,1.60262,4.75982,0.01728,1,0.59905,0.88,0.41732,1.82096,7.64414,0.03346,0.00046534,0.00046534,0.00046534
19,111.485,1.36108,5.28537,0.01722,0.85583,0.6,0.855,0.48705,1.80492,7.2722,0.03175,0.00045472,0.00045472,0.00045472
20,117.047,1.63946,5.0888,0.02127,0.79525,0.8,0.87833,0.50401,1.72713,7.10388,0.02995,0.00044014,0.00044014,0.00044014
21,122.719,1.764,8.73445,0.02443,0.79525,0.8,0.87833,0.50401,1.72713,7.10388,0.02995,0.0004216,0.0004216,0.0004216
22,128.423,1.58331,8.56723,0.02301,1,0.56321,0.81167,0.42247,1.83271,7.24481,0.03391,0.0003991,0.0003991,0.0003991
23,134.322,1.53294,8.15685,0.01999,1,0.56321,0.81167,0.42247,1.83271,7.24481,0.03391,0.00037264,0.00037264,0.00037264
24,140.211,1.66338,8.1781,0.02646,0.95673,0.6,0.78591,0.3853,1.88675,7.36132,0.03523,0.00034222,0.00034222,0.00034222
25,145.775,1.40535,7.86201,0.02087,0.95673,0.6,0.78591,0.3853,1.88675,7.36132,0.03523,0.00030784,0.00030784,0.00030784
26,151.272,1.45708,8.36394,0.0216,0.73048,0.4,0.71167,0.34205,1.66037,7.40322,0.03118,0.0002695,0.0002695,0.0002695
27,156.801,1.40084,8.06186,0.01998,0.73048,0.4,0.71167,0.34205,1.66037,7.40322,0.03118,0.0002272,0.0002272,0.0002272
28,162.695,1.42403,7.81291,0.02089,0.50617,0.6,0.70591,0.34488,1.34831,7.38796,0.02398,0.00018094,0.00018094,0.00018094
29,168.544,1.54806,7.89569,0.02526,0.50617,0.6,0.70591,0.34488,1.34831,7.38796,0.02398,0.00013072,0.00013072,0.00013072
30,174.022,1.4095,7.79948,0.02291,0.50617,0.6,0.70591,0.34488,1.34831,7.38796,0.02398,7.654e-05,7.654e-05,7.654e-05
